activity_id,parent_id,source_id,assay_id,canonical_molecule_id,canonical_inchikey,exclusion_category,final_modeling_role,exclusion_reason,decision_provenance,molecule_survives_elsewhere,notes
ACT_25917002,PARENT0759,PMID_39023902,ASSY_CHEMBL5526934,CM00423,MIBMCLUCDTUCJE-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917003,PARENT0760,PMID_39023902,ASSY_CHEMBL5526934,CM00349,KAMYQFBHCBGCHQ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917004,PARENT0761,PMID_39023902,ASSY_CHEMBL5526934,CM00024,AROJMDFUZFWLQW-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917005,PARENT0762,PMID_39023902,ASSY_CHEMBL5526934,CM00157,FHDRTUFXMKVVKI-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917006,PARENT0763,PMID_39023902,ASSY_CHEMBL5526934,CM00631,SFEUJYFPRKRYEP-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917007,PARENT0764,PMID_39023902,ASSY_CHEMBL5526934,CM00106,CPCUJKRPICCEIF-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917008,PARENT0765,PMID_39023902,ASSY_CHEMBL5526934,CM00017,AKZJWLOWUIDMMF-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917009,PARENT0766,PMID_39023902,ASSY_CHEMBL5526934,CM00521,PCSZIYSULDFJRC-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917012,PARENT0769,PMID_39023902,ASSY_CHEMBL5526934,CM00856,ZNVZHTGTJHGHGT-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917014,PARENT0771,PMID_39023902,ASSY_CHEMBL5526934,CM00420,MGHRANXNVQQFLM-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25917015,PARENT0772,PMID_39023902,ASSY_CHEMBL5526934,CM00789,XIJXNHKAWNNJMZ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
