activity_id,measurement_group_id,fc1_measurement_group_id,replicate_count,representation_count,measurement_representation_type,aggregation_method,aggregated_pEC50,aggregated_EC50_nM,canonical_molecule_id,parent_id,source_id,assay_id,assay_family,readout,cell_system,orthosteric_agonist,agonist_conc_or_ecxx,endpoint_type,endpoint_relation,potency_nM,pEC50,receptor_species,final_species_valid,final_identity_valid,potency_regression_eligible,unit_human_decision,row_human_decision,identity_decision,decision_provenance,divergent_duplicate_classification,divergent_duplicate_disposition,notes
ACT_12628054,MG00151,MG00151,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.0718,847.62,CM00279,PARENT0218,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,851.14,6.07,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.07 (generic negative-log potency)
ACT_12628056,MG00124,MG00124,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8914,128.41,CM00226,PARENT0219,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,128.82,6.89,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.89 (generic negative-log potency)
ACT_12628057,MG00430,MG00430,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.8616,1375.31,CM00800,PARENT0220,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,1380.38,5.86,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.86 (generic negative-log potency)
ACT_12628058,MG00284,MG00284,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.4493,355.39,CM00519,PARENT0221,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,354.81,6.45,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.45 (generic negative-log potency)
ACT_12628059,MG00162,MG00162,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.1723,672.51,CM00307,PARENT0222,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,676.08,6.17,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.17 (generic negative-log potency)
ACT_12628060,MG00292,MG00292,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.681,208.45,CM00538,PARENT0223,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,208.93,6.68,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.68 (generic negative-log potency)
ACT_12628061,MG00185,MG00185,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.2123,61.33,CM00343,PARENT0224,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,61.66,7.21,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.21 (generic negative-log potency)
ACT_12628062,MG00220,MG00220,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.2209,601.31,CM00409,PARENT0225,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,602.56,6.22,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.22 (generic negative-log potency)
ACT_12628063,MG00428,MG00428,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.2509,56.12,CM00796,PARENT0194,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,56.23,7.25,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.25 (generic negative-log potency)
ACT_12628064,MG00391,MG00391,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.1118,77.3,CM00713,PARENT0195,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,77.62,7.11,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.11 (generic negative-log potency)
