activity_id,measurement_group_id,fc1_measurement_group_id,replicate_count,representation_count,measurement_representation_type,aggregation_method,aggregated_pEC50,aggregated_EC50_nM,canonical_molecule_id,parent_id,source_id,assay_id,assay_family,readout,cell_system,orthosteric_agonist,agonist_conc_or_ecxx,endpoint_type,endpoint_relation,potency_nM,pEC50,receptor_species,final_species_valid,final_identity_valid,potency_regression_eligible,unit_human_decision,row_human_decision,identity_decision,decision_provenance,divergent_duplicate_classification,divergent_duplicate_disposition,notes
ACT_18461665,MG00312,MG00312,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.44,363.08,CM00580,PARENT0416,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,363.0,6.4401,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.44 (generic negative-log potency)
ACT_18461666,MG00030,MG00030,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.8205,1511.82,CM00051,PARENT0417,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,1510.0,5.821,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.82 (generic negative-log potency)
ACT_18461667,MG00398,MG00398,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.8386,1450.11,CM00732,PARENT0418,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,1455.0,5.8371,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.84 (generic negative-log potency)
ACT_18461668,MG00106,MG00106,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.4397,363.33,CM00194,PARENT0419,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,324.0,6.4895,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.49 (generic negative-log potency)
ACT_18461669,MG00360,MG00360,1,1,single,single,7.041,90.99,CM00666,PARENT0312,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,91.0,7.041,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.04 (generic negative-log potency)
ACT_18461691,MG00277,MG00277,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.7498,177.91,CM00503,PARENT0421,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,178.0,6.7496,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.75 (generic negative-log potency)
ACT_18461692,MG00304,MG00304,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.1413,72.23,CM00563,PARENT0420,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,72.0,7.1427,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.14 (generic negative-log potency)
ACT_18461719,MG00304,MG00304,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.1413,72.23,CM00563,PARENT0420,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,72.44,7.14,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.14 (generic negative-log potency)
ACT_18461720,MG00277,MG00277,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.7498,177.91,CM00503,PARENT0421,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,177.83,6.75,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.75 (generic negative-log potency)
ACT_18461721,MG00415,MG00415,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.6995,199.76,CM00765,PARENT0399,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,199.53,6.7,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.7 (generic negative-log potency)
ACT_18461722,MG00075,MG00075,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.34,457.09,CM00130,PARENT0400,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,457.09,6.34,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.34 (generic negative-log potency)
ACT_18461723,MG00349,MG00349,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.07,851.14,CM00646,PARENT0401,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,851.14,6.07,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.07 (generic negative-log potency)
ACT_18461724,MG00394,MG00394,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.9601,1096.23,CM00718,PARENT0402,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,1096.48,5.96,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.96 (generic negative-log potency)
ACT_18461725,MG00259,MG00259,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.6401,2290.34,CM00470,PARENT0403,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,2290.87,5.64,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.64 (generic negative-log potency)
ACT_18461727,MG00389,MG00389,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.4801,331.05,CM00711,PARENT0405,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,331.13,6.48,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.48 (generic negative-log potency)
ACT_18461728,MG00004,MG00004,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.3902,407.19,CM00011,PARENT0406,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,407.38,6.39,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.39 (generic negative-log potency)
ACT_18461729,MG00049,MG00049,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.2421,57.27,CM00088,PARENT0407,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,57.54,7.24,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.24 (generic negative-log potency)
ACT_18461730,MG00017,MG00017,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8205,151.18,CM00036,PARENT0408,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,151.36,6.82,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.82 (generic negative-log potency)
ACT_18461733,MG00174,MG00174,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.98,1047.13,CM00328,PARENT0411,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,1047.13,5.98,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.98 (generic negative-log potency)
ACT_18461734,MG00297,MG00297,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.3799,416.97,CM00544,PARENT0412,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,416.87,6.38,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.38 (generic negative-log potency)
ACT_18461735,MG00357,MG00357,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.3498,446.89,CM00660,PARENT0413,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,446.68,6.35,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.35 (generic negative-log potency)
ACT_18461736,MG00339,MG00339,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.6499,2239.24,CM00629,PARENT0414,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,2238.72,5.65,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.65 (generic negative-log potency)
ACT_18461737,MG00139,MG00139,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5002,316.08,CM00251,PARENT0415,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,316.23,6.5,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.5 (generic negative-log potency)
ACT_18461738,MG00312,MG00312,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.44,363.08,CM00580,PARENT0416,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,363.08,6.44,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.44 (generic negative-log potency)
ACT_18461739,MG00030,MG00030,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.8205,1511.82,CM00051,PARENT0417,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,1513.56,5.82,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.82 (generic negative-log potency)
ACT_18461740,MG00398,MG00398,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.8386,1450.11,CM00732,PARENT0418,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,1445.44,5.84,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.84 (generic negative-log potency)
ACT_18461741,MG00106,MG00106,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.4397,363.33,CM00194,PARENT0419,PMID_29089231,ASSY_CHEMBL4180723,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,407.38,6.39,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.39 (generic negative-log potency)
ACT_19124235,MG00227,MG00227,1,1,single,single,6.1675,679.99,CM00414,PARENT0232,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,680.0,6.1675,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.17 (generic negative-log potency)
ACT_19124236,MG00255,MG00255,1,1,single,single,5.2924,5100.35,CM00464,PARENT0460,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,5100.0,5.2924,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.29 (generic negative-log potency)
ACT_19124309,MG00066,MG00066,1,1,single,single,7.2218,60.01,CM00116,PARENT0464,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,60.0,7.2218,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.22 (generic negative-log potency)
ACT_19124310,MG00097,MG00097,1,1,single,single,6.1612,689.92,CM00175,PARENT0465,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,690.0,6.1612,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.16 (generic negative-log potency)
ACT_19124311,MG00236,MG00236,1,1,single,single,6.7447,180.01,CM00430,PARENT0466,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,180.0,6.7447,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.75 (generic negative-log potency)
ACT_19124312,MG00003,MG00003,1,1,single,single,6.2076,620.01,CM00009,PARENT0467,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,620.0,6.2076,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.21 (generic negative-log potency)
ACT_19124313,MG00419,MG00419,1,1,single,single,6.7959,159.99,CM00773,PARENT0468,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,160.0,6.7959,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.8 (generic negative-log potency)
ACT_19124314,MG00332,MG00332,1,1,single,single,7.3979,40.0,CM00618,PARENT0469,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,40.0,7.3979,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.4 (generic negative-log potency)
ACT_19124315,MG00308,MG00308,1,1,single,single,6.9208,120.01,CM00570,PARENT0470,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,120.0,6.9208,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.92 (generic negative-log potency)
ACT_19124316,MG00231,MG00231,1,1,single,single,6.6383,229.99,CM00418,PARENT0471,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,230.0,6.6383,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.64 (generic negative-log potency)
ACT_19124320,MG00213,MG00213,1,1,single,single,5.9208,1200.05,CM00392,PARENT0475,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,1200.0,5.9208,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.92 (generic negative-log potency)
ACT_19124321,MG00329,MG00329,1,1,single,single,5.4202,3800.14,CM00606,PARENT0476,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,3800.0,5.4202,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.42 (generic negative-log potency)
ACT_19124322,MG00171,MG00171,1,1,single,single,5.699,1999.86,CM00322,PARENT0477,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,2000.0,5.699,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.7 (generic negative-log potency)
ACT_19124323,MG00414,MG00414,1,1,single,single,5.9586,1100.02,CM00764,PARENT0478,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,1100.0,5.9586,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.96 (generic negative-log potency)
ACT_19124324,MG00276,MG00276,1,1,single,single,6.0,1000.0,CM00502,PARENT0479,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,1000.0,6.0,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6 (generic negative-log potency)
ACT_19124325,MG00245,MG00245,1,1,single,single,5.6576,2199.89,CM00443,PARENT0480,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,2200.0,5.6576,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.66 (generic negative-log potency)
ACT_19124327,MG00468,MG00468,1,1,single,single,5.2518,5600.15,CM00858,PARENT0482,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,5600.0,5.2518,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.25 (generic negative-log potency)
ACT_19124328,MG00033,MG00033,1,1,single,single,5.6576,2199.89,CM00056,PARENT0483,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,2200.0,5.6576,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.66 (generic negative-log potency)
ACT_19124329,MG00134,MG00134,1,1,single,single,5.6778,2099.91,CM00244,PARENT0484,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,2100.0,5.6778,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.68 (generic negative-log potency)
ACT_19124330,MG00101,MG00101,1,1,single,single,5.8239,1500.03,CM00183,PARENT0485,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,1500.0,5.8239,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.82 (generic negative-log potency)
ACT_19124331,MG00386,MG00386,1,1,single,single,7.0969,80.0,CM00707,PARENT0463,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,80.0,7.0969,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.1 (generic negative-log potency)
ACT_19124332,MG00077,MG00077,1,1,single,single,5.5686,2700.23,CM00132,PARENT0462,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,2700.0,5.5686,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.57 (generic negative-log potency)
ACT_19124333,MG00128,MG00128,1,1,single,single,5.1938,6400.3,CM00235,PARENT0461,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,6400.0,5.1938,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.19 (generic negative-log potency)
ACT_19124334,MG00204,MG00204,1,1,single,single,5.8239,1500.03,CM00381,PARENT0486,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,1500.0,5.8239,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.82 (generic negative-log potency)
ACT_19124335,MG00237,MG00237,1,1,single,single,5.6778,2099.91,CM00431,PARENT0487,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,2100.0,5.6778,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.68 (generic negative-log potency)
ACT_19124336,MG00452,MG00452,1,1,single,single,5.2291,5900.65,CM00837,PARENT0488,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,5900.0,5.2291,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.23 (generic negative-log potency)
ACT_19124338,MG00207,MG00207,1,1,single,single,5.5686,2700.23,CM00385,PARENT0490,PMID_30580918,ASSY_CHEMBL4373344,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,2700.0,5.5686,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.57 (generic negative-log potency)
ACT_19178811,MG00122,MG00122,1,1,single,single,6.585,260.02,CM00222,PARENT0491,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,260.0,6.585,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.58 (generic negative-log potency)
ACT_19178812,MG00111,MG00111,1,1,single,single,7.7959,16.0,CM00202,PARENT0492,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,16.0,7.7959,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.8 (generic negative-log potency)
ACT_19178813,MG00070,MG00070,1,1,single,single,7.9208,12.0,CM00123,PARENT0493,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,12.0,7.9208,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.92 (generic negative-log potency)
ACT_19178814,MG00455,MG00455,1,1,single,single,7.699,20.0,CM00841,PARENT0494,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,20.0,7.699,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.7 (generic negative-log potency)
ACT_19178815,MG00321,MG00321,1,1,single,single,7.6576,22.0,CM00594,PARENT0495,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,22.0,7.6576,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.66 (generic negative-log potency)
ACT_19178816,MG00266,MG00266,1,1,single,single,8.0969,8.0,CM00482,PARENT0496,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,8.0,8.0969,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=8.1 (generic negative-log potency)
ACT_19178817,MG00078,MG00078,1,1,single,single,6.9586,110.0,CM00134,PARENT0497,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,110.0,6.9586,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.96 (generic negative-log potency)
ACT_19178818,MG00410,MG00410,1,1,single,single,7.7696,17.0,CM00758,PARENT0498,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,17.0,7.7696,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.77 (generic negative-log potency)
ACT_19178819,MG00272,MG00272,1,1,single,single,6.6576,219.99,CM00493,PARENT0499,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,220.0,6.6576,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.66 (generic negative-log potency)
ACT_19178820,MG00243,MG00243,1,1,single,single,6.9208,120.01,CM00441,PARENT0500,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,120.0,6.9208,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.92 (generic negative-log potency)
ACT_19178821,MG00283,MG00283,1,1,single,single,7.0506,89.0,CM00518,PARENT0501,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,89.0,7.0506,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.05 (generic negative-log potency)
ACT_19178822,MG00198,MG00198,1,1,single,single,6.0044,989.92,CM00372,PARENT0502,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,990.0,6.0044,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6 (generic negative-log potency)
ACT_19178823,MG00130,MG00130,1,1,single,single,7.9208,12.0,CM00240,PARENT0503,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,12.0,7.9208,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.92 (generic negative-log potency)
ACT_19178824,MG00273,MG00273,1,1,single,single,7.585,26.0,CM00497,PARENT0504,PMID_31248774,ASSY_CHEMBL4386804,calcium,PAM_functional_calcium,CHO,acetylcholine,,EC50,=,26.0,7.585,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.58 (generic negative-log potency)
