assay_id,chembl_assay_id,assay_name,source_ids,receptor_species,receptor_construct,cell_system,readout,assay_family,functional_or_binding,orthosteric_agonist,agonist_conc_or_ecxx,pam_relevant,n_activities,n_core_activities,n_exact_potency_activities,normalization_notes
ASSY_CHEMBL4373344,CHEMBL4373344,Positive allosteric modulation of Gqi5-fused human M4 AChR assessed as increase in acetylcholine-induced calcium mobilization,PMID_30580918,Homo sapiens,,,PAM_functional_calcium,calcium,functional,acetylcholine,,True,32,32,27,
ASSY_CHEMBL4373345,CHEMBL4373345,Positive allosteric modulation of Gqi5-fused human M4 AChR assessed as increase in acetylcholine-induced calcium mobilization relative to acetylcholine alone,PMID_30580918,Homo sapiens,,,PAM_functional_calcium,calcium,functional,acetylcholine,,True,32,0,0,
ASSY_CHEMBL4386804,CHEMBL4386804,Positive allosteric modulation of human M4 AchR expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization,PMID_31248774,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,40,40,40,
ASSY_CHEMBL4386805,CHEMBL4386805,Positive allosteric modulation of human M4 AchR expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization relative to acetylcholine alone,PMID_31248774,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,40,0,0,
ASSY_CHEMBL4479482,CHEMBL4479482,Positive allosteric modulation activity at human M4 receptor expressed in CHO cells co-expressing Gqi5 protein assessed as potentiation of EC20 acetyl choline-induced response by calcium mobilization assay,PMID_27476142,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,,EC20,True,52,52,34,
ASSY_CHEMBL4479483,CHEMBL4479483,Positive allosteric modulation activity at human M4 receptor expressed in CHO cells co-expressing Gqi5 protein assessed as potentiation of EC20 acetyl choline-induced response by calcium mobilization assay relative to acetylcholine,PMID_27476142,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,EC20,True,17,0,0,
ASSY_CHEMBL4610613,CHEMBL4610613,Positive allosteric modulation of human muscarinic M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization,PMID_31784320,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,41,41,23,
ASSY_CHEMBL4610614,CHEMBL4610614,Positive allosteric modulation of human muscarinic M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization relative to acetylcholine,PMID_31784320,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,40,0,0,
ASSY_CHEMBL4610689,CHEMBL4610689,Positive allosteric modulation of human muscarinic M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization,PMID_31787491,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,38,38,38,
ASSY_CHEMBL4610690,CHEMBL4610690,Positive allosteric modulation of human muscarinic M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization relative to acetylcholine,PMID_31787491,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,36,0,0,
ASSY_CHEMBL4623759,CHEMBL4623759,Positive allosteric modulation of recombinant human muscarinic acetylcholine receptor M4 expressed in CHOK1 cells coexpressing G-alpha16 assessed as increase in carbachol-induced intracellular calcium flux at 10 uM preincubated for 5 mins followed by carbachol addition by Fluo4-AM dye based FLIPR assay relative to carbachol,PMID_32386953,Homo sapiens,,CHO-K1,PAM_functional_calcium,calcium,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL4667426,CHEMBL4667426,Positive allosteric modulation of human M4 receptor/Gqi5 in presence of EC20 glutamate by calcium mobilization assay,PMID_31113706,Homo sapiens,,,PAM_functional_calcium,calcium,functional,,EC20,True,27,27,26,
ASSY_CHEMBL4667427,CHEMBL4667427,Positive allosteric modulation of human M4 receptor/Gqi5 in presence of EC20 glutamate by calcium mobilization assay relative to acetylcholine,PMID_31113706,Homo sapiens,,,PAM_functional_calcium,calcium,functional,acetylcholine,EC20,True,26,0,0,
ASSY_CHEMBL4717805,CHEMBL4717805,Positive allosteric modulation of human recombinant muscarinic M4 receptor stably expressed in HEK cells assessed as increase in ACh-induced cAMP accumulation up to 10 uM measured after 10 mins by GloSensor cAMP Assay,PMID_27275946,Homo sapiens,,HEK,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL5030005,CHEMBL5030005,Positive allosteric modulation of human muscarinic acetylcholine M4/Gqi5 receptor expressed in CHO cells in presence of acetylcholine at EC20 concentration by calcium mobilization assay relative to control,PMID_34710625,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,EC20,True,50,0,0,
ASSY_CHEMBL5030006,CHEMBL5030006,Positive allosteric modulation of human muscarinic acetylcholine M4/Gqi5 receptor expressed in CHO cells in presence of acetylcholine at EC20 concentration by calcium mobilization assay,PMID_34710625,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,EC20,True,51,51,38,
ASSY_CHEMBL5233294,CHEMBL5233294,Positive allosteric modulator activity at human M4 receptor,PMID_34671731,Homo sapiens,,,PAM_functional_unspecified,unspecified,functional,,,True,1,0,0,
ASSY_CHEMBL5253757,CHEMBL5253757,Positive allosteric modulator activity at human M4 receptor expressed in CHO cells co-expressing Gqi5 in presence of EC20 concentration of acetylcholine by calcium mobilization assay,PMID_28197318,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,EC20,True,28,28,26,
