canonical_molecule_id,canonical_inchikey,canonical_smiles,canonical_inchi,identity_status,canonical_representative_parent_id,all_parent_ids,all_chembl_ids,all_names,all_aliases,identity_decision,identity_decision_provenance,member_notes,modeling_eligibility_note,collision_report
CM00852,ZLQJRRFMFACGIH-UHFFFAOYSA-N,Cc1nc2sc(C(=O)NCc3cccc(F)c3F)c(N)c2c(C)c1Cl,"InChI=1S/C17H14ClF2N3OS/c1-7-11-14(21)15(25-17(11)23-8(2)12(7)18)16(24)22-6-9-4-3-5-10(19)13(9)20/h3-5H,6,21H2,1-2H3,(H,22,24)",confirmed_structure,PARENT0226,PARENT0226,CHEMBL2313376,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0226:chembl=CHEMBL2313376,class=pure_PAM",,
CM00853,ZMYAYLNHKRKKNL-UHFFFAOYSA-N,Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccccc3)C1)C2,"InChI=1S/C20H23N3O/c1-14-8-15(2)21-19-13-23(12-18(14)19)20(24)9-16-10-22(11-16)17-6-4-3-5-7-17/h3-8,16H,9-13H2,1-2H3",confirmed_structure,PARENT0743,PARENT0743,CHEMBL5556199,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0743:chembl=CHEMBL5556199,class=pure_PAM",,
CM00854,ZNODMHKRIVRESL-UHFFFAOYSA-N,COc1ccc(C(=O)c2sc3nnc(C)c(C)c3c2N)cc1,"InChI=1S/C16H15N3O2S/c1-8-9(2)18-19-16-12(8)13(17)15(22-16)14(20)10-4-6-11(21-3)7-5-10/h4-7H,17H2,1-3H3",confirmed_structure,PARENT0531,PARENT0531,CHEMBL4514671,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0531:chembl=CHEMBL4514671,class=pure_PAM",,
CM00855,ZNUPWNWASNWTAY-UHFFFAOYSA-N,Cn1nnc2ccc(C(=O)NC3CN(c4ccc(C#N)cn4)C3)c(N)c21,"InChI=1S/C17H16N8O/c1-24-16-13(22-23-24)4-3-12(15(16)19)17(26)21-11-8-25(9-11)14-5-2-10(6-18)7-20-14/h2-5,7,11H,8-9,19H2,1H3,(H,21,26)",confirmed_structure,PARENT0617,PARENT0617,CHEMBL4647288,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0617:chembl=CHEMBL4647288,class=weak_PAM",,
CM00856,ZNVZHTGTJHGHGT-UHFFFAOYSA-N,Cc1ccc(-c2cnn(CC(N)=O)c2)c(-c2ccc3c(c2)C(=O)N(C)C3)n1,"InChI=1S/C20H19N5O2/c1-12-3-6-16(15-8-22-25(10-15)11-18(21)26)19(23-12)13-4-5-14-9-24(2)20(27)17(14)7-13/h3-8,10H,9,11H2,1-2H3,(H2,21,26)",confirmed_structure,PARENT0769,PARENT0769,CHEMBL5555706,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0769:chembl=CHEMBL5555706,class=other_context",,
CM00857,ZPPMMXGFNXTMBU-UHFFFAOYSA-N,Cc1nc2sc3c(NC4CC4(C)C)ncnc3c2c(C)c1Cl,"InChI=1S/C16H17ClN4S/c1-7-10-12-13(22-15(10)20-8(2)11(7)17)14(19-6-18-12)21-9-5-16(9,3)4/h6,9H,5H2,1-4H3,(H,18,19,21)",confirmed_structure,PARENT0800,PARENT0800,CHEMBL5592655,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0800:chembl=CHEMBL5592655,class=weak_PAM",,
CM00858,ZPQANVMRLBDXAZ-UHFFFAOYSA-N,COc1ccc(CNC(=O)c2sc3nnc(C)c(C)c3c2C2CC2)cc1F,"InChI=1S/C20H20FN3O2S/c1-10-11(2)23-24-20-16(10)17(13-5-6-13)18(27-20)19(25)22-9-12-4-7-15(26-3)14(21)8-12/h4,7-8,13H,5-6,9H2,1-3H3,(H,22,25)",confirmed_structure,PARENT0482,PARENT0482,CHEMBL4466551,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0482:chembl=CHEMBL4466551,class=weak_PAM",,
CM00859,ZQFAODQOMUXTFA-UHFFFAOYSA-N,COc1ccc(C(O)c2sc3nc(C)cc(C)c3c2N)cc1,"InChI=1S/C17H18N2O2S/c1-9-8-10(2)19-17-13(9)14(18)16(22-17)15(20)11-4-6-12(21-3)7-5-11/h4-8,15,20H,18H2,1-3H3",confirmed_structure,PARENT0561,PARENT0561,CHEMBL4570865,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0561:chembl=CHEMBL4570865,class=inactive_tested",,
CM00860,ZRZXULZYIXERFS-UHFFFAOYSA-N,O=C1CCc2cc3c(c4c5cc(O)ccc5n1c24)CCNC3,"InChI=1S/C18H16N2O2/c21-12-2-3-15-14(8-12)17-13-5-6-19-9-11(13)7-10-1-4-16(22)20(15)18(10)17/h2-3,7-8,19,21H,1,4-6,9H2",confirmed_structure,PARENT0004,PARENT0004,CHEMBL23422,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0004:chembl=CHEMBL23422,class=other_context",,
CM00861,ZSOAWKYNONIFEM-UHFFFAOYSA-N,COc1ccc(C)c2sc(NC(=O)c3ccc(F)c(F)c3)nc12,"InChI=1S/C16H12F2N2O2S/c1-8-3-6-12(22-2)13-14(8)23-16(19-13)20-15(21)9-4-5-10(17)11(18)7-9/h3-7H,1-2H3,(H,19,20,21)",confirmed_structure,PARENT0127,PARENT0127,CHEMBL2057396,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0127:chembl=CHEMBL2057396,class=other_context",,
CM00862,ZTIMQXVUJPPYKR-UHFFFAOYSA-N,Cn1nnc2ccc(C(=O)NC3CN(c4cccc(Cl)n4)C3)c(N)c21,"InChI=1S/C16H16ClN7O/c1-23-15-11(21-22-23)6-5-10(14(15)18)16(25)19-9-7-24(8-9)13-4-2-3-12(17)20-13/h2-6,9H,7-8,18H2,1H3,(H,19,25)",confirmed_structure,PARENT0620,PARENT0620,CHEMBL4645945,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0620:chembl=CHEMBL4645945,class=weak_PAM",,
CM00863,ZTQFUUZTSSAMMG-UHFFFAOYSA-N,COc1ccc(C)c2sc(NC(=O)C3CCCCO3)nc12,"InChI=1S/C15H18N2O3S/c1-9-6-7-10(19-2)12-13(9)21-15(16-12)17-14(18)11-5-3-4-8-20-11/h6-7,11H,3-5,8H2,1-2H3,(H,16,17,18)",confirmed_structure,PARENT0118,PARENT0118,CHEMBL2057387,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0118:chembl=CHEMBL2057387,class=weak_PAM",,
