window,region,metric,cosine,norm_R2,norm_R3,distance,relative_distance
2,compound110_pocket,dPAM,-0.5440059543555394,1.6988113249697847,1.5230228079185337,2.8320668240717457,1.7580463222250655
2,compound110_pocket,dAGO,0.35892573184068444,2.1231976806973147,2.0129457730102027,2.343481762909599,1.1331723810541297
2,compound110_pocket,dINT,-0.21292283500393966,3.5237363085412703,2.9310817977149948,5.040460810895898,1.5617669554500642
2,ECV_anchor,dPAM,0.45589904561484207,2.2382830647605005,1.5182029754104756,2.0533894536840402,1.0932501448031897
2,ECV_anchor,dAGO,-0.30586551367372805,1.8433982412690038,2.2030768696728984,3.2765828273261617,1.6194750925150103
2,ECV_anchor,dINT,0.5893218166331864,1.601487969768377,3.6361928230107665,2.9871464689142644,1.1406370823638021
2,W435_gate,dPAM,0.5707001456694176,6.589493040866193,3.370155802671056,5.425088642314092,1.0894136384807176
2,W435_gate,dAGO,-0.163373835733261,3.3899576997352137,7.002029718847026,8.262935744811971,1.5902512988106117
2,W435_gate,dINT,0.2585889557972753,7.074938086662994,9.66858656131528,10.399949053602725,1.2422652066700288
2,species_probe,dPAM,0.11834734821896618,4.956691042681853,2.233120485954414,5.189958192409698,1.4436979806045367
2,species_probe,dAGO,-0.6211300823289714,4.334252672112481,5.382552260712265,8.760064309209747,1.8030750580609076
2,species_probe,dINT,-0.3039463133735087,8.590425189806444,7.003844186558793,12.626310063664224,1.6193525658599603
2,global,dPAM,0.14199759080108418,0.6536303142711677,0.3219386890586199,0.6863791353250444,1.4071360057203792
2,global,dAGO,0.8943033000999268,0.834664565874411,0.39727520677595085,0.5112785092438002,0.8300381570502421
2,global,dINT,0.6683861114964655,1.4540950990300283,0.6598657372929331,1.125687491380214,1.0650031656577355
2,distal_control,dPAM,0.6930784230645799,1.130295159870832,0.455683474301968,0.8782169620627885,1.1074764100095722
2,distal_control,dAGO,-0.6892680613213257,0.6947334060282094,0.9053924754614832,1.4729216141607524,1.841007174747383
2,distal_control,dINT,0.3068812099511357,1.4306002989602207,0.9311933972339077,1.4477932190893363,1.226011587229111
3,ACh_pocket,dPAM,-0.4349787865044107,1.4506031755865674,2.0548962275803446,2.986645532235997,1.7039772019574866
3,ACh_pocket,dAGO,-0.08291386669214727,1.53066396739412,0.7835981142402625,1.7764729609249432,1.5352392237877908
3,ACh_pocket,dINT,0.628047559602916,0.6597408305474902,1.8640230559828574,1.5378976429440627,1.2187333776761133
3,compound110_pocket,dPAM,0.16839196043337404,1.3163974248047072,1.0591402126155551,1.5443831694612835,1.300238855519394
3,compound110_pocket,dAGO,-0.8300611028502823,1.2729449722493402,1.2915705737128826,2.4531505238171074,1.9131492711592584
3,compound110_pocket,dINT,-0.2863188152015175,1.578938967559718,1.522510343397921,2.487504524934609,1.604091684585062
3,ECV_anchor,dPAM,-0.61064526520821,2.3347226642731447,1.3861825915373023,3.3652574999454914,1.808838048047804
3,ECV_anchor,dAGO,-0.20724157893622486,3.372017964253947,3.72885307270147,5.52145469532298,1.5551485632079214
3,ECV_anchor,dINT,0.01219117874676812,1.4986783422376604,3.2785190347880384,3.5881642173868205,1.5022047172021287
3,W435_gate,dPAM,0.7582771422063348,7.477093717745995,2.662257184371239,5.727660550165663,1.1297884066660813
3,W435_gate,dAGO,0.5514308740203098,2.4246126907516317,4.110819489461354,3.4329579815703695,1.0505680074117123
3,W435_gate,dINT,0.6400534362995066,5.8437269743893285,3.9889956531431583,4.496795535569836,0.9146592873429408
